21000,1996-06-24 00:00:00Z,SY8 2HY,Semi-Detached,Established,Freehold,19,,FORGE LANE,DOWNTON ON THE ROCK,LUDLOW,LEOMINSTER,HEREFORD AND WORCESTER,Standard,Addition,52.3707520000,-2.8059670000
365000,2007-05-31 00:00:00Z,SY8 2HY,Detached,Established,Freehold,FORGE COTTAGE,,FORGE LANE,DOWNTON ON THE ROCK,LUDLOW,HEREFORDSHIRE,HEREFORDSHIRE,Standard,Addition,52.3707520000,-2.8059670000
375000,2008-03-14 00:00:00Z,SY8 2HY,Detached,Established,Freehold,FORGE COTTAGE,,FORGE LANE,DOWNTON ON THE ROCK,LUDLOW,HEREFORDSHIRE,HEREFORDSHIRE,Standard,Addition,52.3707520000,-2.8059670000
