330000,2007-08-16 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 40,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
399000,2007-01-19 00:00:00Z,RH15 0SN,Flats/Maisonettes,New Build,Leasehold,MAES COURT,FLAT 4,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591170000,-0.0965060000
299000,2007-03-16 00:00:00Z,RH15 0SN,Flats/Maisonettes,New Build,Leasehold,MAES COURT,FLAT 3,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591170000,-0.0965060000
260000,2007-07-20 00:00:00Z,RH15 0SW,Flats/Maisonettes,Established,Leasehold,MAPLE COURT,FLAT 29,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
305000,2007-08-23 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 25,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
290000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 26,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
315000,2007-08-28 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 6,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
330000,2007-08-20 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 37,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
305000,2007-08-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,New Build,Leasehold,OAKVIEW COURT,FLAT 18,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
325000,2007-09-24 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 12,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
274000,2007-09-14 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 25,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
299000,2007-02-05 00:00:00Z,RH15 0SW,Flats/Maisonettes,New Build,Leasehold,MAPLE COURT,FLAT 19,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9589060000,-0.0962440000
330000,2007-08-23 00:00:00Z,RH15 0SG,Flats/Maisonettes,Established,Leasehold,OAKVIEW COURT,FLAT 32,ST GEORGES PARK,BURGESS HILL,BURGESS HILL,LEWES,EAST SUSSEX,Standard,Addition,50.9591160000,-0.0969620000
