250000,1999-01-27 00:00:00Z,DY3 4PY,Detached,Established,Freehold,THE WARREN,,LONG COMMON,SWINDON,DUDLEY,SOUTH STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.5299970000,-2.2410870000
76000,2001-09-28 00:00:00Z,DY7 5EG,Terraced,Established,Freehold,MANOR BARN,,MANOR LANE,BOBBINGTON,STOURBRIDGE,SOUTH STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.5205100000,-2.2491650000
312500,2002-01-11 00:00:00Z,DY7 5EG,Terraced,Established,Freehold,MANOR BARN,,MANOR LANE,BOBBINGTON,STOURBRIDGE,SOUTH STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.5205100000,-2.2491650000
500000,2013-11-27 00:00:00Z,DY7 5EG,Detached,Established,Freehold,MANOR LODGE,,MANOR LANE,BOBBINGTON,STOURBRIDGE,SOUTH STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.5205100000,-2.2491650000
440000,2021-04-01 00:00:00Z,DY7 5EG,Terraced,Established,Freehold,EAST BARN,,MANOR LANE,BOBBINGTON,STOURBRIDGE,SOUTH STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.5205100000,-2.2491650000
