165000,2017-06-23 00:00:00Z,HU11 5EH,Semi-Detached,Established,Freehold,KELWELL COTTAGES,2,SKIRLAUGH ROAD,SKIRLAUGH,HULL,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8182180000,-0.2671970000
300000,2017-06-26 00:00:00Z,HU11 4JF,Other,Established,Freehold,KELWELL FARMHOUSE,,SKIRLAUGH ROAD,SWINE,HULL,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8108010000,-0.2665010000
320000,2019-09-05 00:00:00Z,HU11 4JF,Other,Established,Freehold,KELWELL FARMHOUSE,,SKIRLAUGH ROAD,SWINE,HULL,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8108010000,-0.2665010000
