95000,1997-03-04 00:00:00Z,NG23 6LJ,Detached,New Build,Freehold,MEADOW COTTAGE,,MAIN STREET,OSSINGTON,NEWARK,NEWARK AND SHERWOOD,NOTTINGHAMSHIRE,Standard,Addition,53.1730930000,-0.8710060000
150000,2001-04-06 00:00:00Z,NG23 6JB,Terraced,New Build,Freehold,1,,LAMBERTS LANE,OSSINGTON,NEWARK,NEWARK AND SHERWOOD,NOTTINGHAMSHIRE,Standard,Addition,53.1736570000,-0.8736250000
238000,2010-12-17 00:00:00Z,NG23 6JB,Terraced,Established,Freehold,2,,LAMBERTS LANE,OSSINGTON,NEWARK,NEWARK AND SHERWOOD,NOTTINGHAMSHIRE,Standard,Addition,53.1736570000,-0.8736250000
265000,2012-10-11 00:00:00Z,NG23 6JB,Terraced,Established,Freehold,2,,LAMBERTS LANE,OSSINGTON,NEWARK,NEWARK AND SHERWOOD,NOTTINGHAMSHIRE,Standard,Addition,53.1736570000,-0.8736250000
250000,2021-03-12 00:00:00Z,NG23 6JB,Terraced,Established,Freehold,3,,LAMBERTS LANE,OSSINGTON,NEWARK,NEWARK AND SHERWOOD,NOTTINGHAMSHIRE,Standard,Addition,53.1736570000,-0.8736250000
