68000,1995-08-15 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,28,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
265000,1995-09-08 00:00:00Z,SG10 6BY,Detached,Established,Freehold,CROWN HOUSE,,HIGH STREET,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8564690000,0.0722870000
105000,1995-08-04 00:00:00Z,SG10 6EZ,Semi-Detached,Established,Freehold,IVY COTTAGE,2,WIDFORD ROAD,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8373900000,0.0670740000
130000,1996-09-27 00:00:00Z,SG10 6EF,Terraced,Established,Freehold,THREE CASTLES,,PERRY GREEN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8384440000,0.0863120000
146000,1996-07-12 00:00:00Z,SG10 6DE,Detached,Established,Freehold,ASHVIEW,,HADHAM CROSS,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8487340000,0.0708280000
67995,1996-07-29 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,20,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
310000,1996-09-27 00:00:00Z,SG10 6EF,Detached,Established,Freehold,FOXLEY,,PERRY GREEN,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8384440000,0.0863120000
72000,1996-09-20 00:00:00Z,SG10 6BT,Terraced,Established,Freehold,3,,PARK TERRACE,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8525360000,0.0715000000
139000,1996-03-11 00:00:00Z,SG10 6HP,Semi-Detached,Established,Freehold,1,,WALTONS COTTAGES,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8562480000,0.0813130000
210000,1996-12-23 00:00:00Z,SG10 6DE,Detached,Established,Freehold,THE OLD TELEPHONE EXCHANGE,,HADHAM CROSS,,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8487340000,0.0708280000
67000,1996-05-16 00:00:00Z,SG10 6DP,Terraced,Established,Freehold,39,,ASH MEADOW,MUCH HADHAM,MUCH HADHAM,EAST HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.8484790000,0.0731140000
