700000,2014-11-13 00:00:00Z,NR20 3JH,Detached,Established,Freehold,HIGH CROFT,,SANDY LANE,EAST TUDDENHAM,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6722330000,1.0887560000
550000,2019-10-17 00:00:00Z,NR20 3JN,Detached,New Build,Freehold,11,,ALBATROSS ROAD,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6720860000,1.0819550000
760000,2019-10-11 00:00:00Z,NR20 3SP,Detached,New Build,Freehold,4,,BRAMBLE DRIVE,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6728440000,1.0825410000
545000,2019-06-24 00:00:00Z,NR20 3SP,Detached,Established,Freehold,3,,BRAMBLE DRIVE,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6728440000,1.0825410000
600000,2019-11-29 00:00:00Z,NR20 3SP,Detached,New Build,Freehold,2,,BRAMBLE DRIVE,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6728440000,1.0825410000
840000,2020-10-09 00:00:00Z,NR20 3SN,Detached,New Build,Freehold,3,,SLOE BERRY LANE,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6728130000,1.0813250000
411417,2020-10-29 00:00:00Z,NR20 3JN,Detached,New Build,Freehold,9,,ALBATROSS ROAD,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Additional,Addition,52.6720860000,1.0819550000
640000,2021-05-28 00:00:00Z,NR20 3JN,Detached,Established,Freehold,9,,ALBATROSS ROAD,HOCKERING,DEREHAM,BRECKLAND,NORFOLK,Standard,Addition,52.6720860000,1.0819550000
