30000,2001-06-25 00:00:00Z,LD7 1RF,Semi-Detached,Established,Freehold,2,,ROCK VIEW ESTATE,LLOYNEY,KNIGHTON,POWYS,POWYS,Standard,Addition,52.3748470000,-3.1088830000
40000,2003-07-01 00:00:00Z,LD7 1TS,Semi-Detached,Established,Freehold,1,,CRAIGWOOD COTTAGE,LLANFAIRWATERDINE,KNIGHTON,SOUTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.3764710000,-3.1040470000
230000,2004-02-06 00:00:00Z,LD7 1TS,Detached,Established,Freehold,GRAIG COTTAGE,,,LLANFAIRWATERDINE,KNIGHTON,SOUTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.3764710000,-3.1040470000
235000,2006-11-29 00:00:00Z,LD7 1TS,Detached,Established,Freehold,LITTLE CRAIG,,,LLANFAIRWATERDINE,KNIGHTON,SOUTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.3764710000,-3.1040470000
420000,2006-11-17 00:00:00Z,LD7 1TS,Detached,Established,Freehold,THE COACH HOUSE,,,LLANFAIRWATERDINE,KNIGHTON,SOUTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.3764710000,-3.1040470000
345000,2011-10-21 00:00:00Z,LD7 1TS,Detached,Established,Freehold,GRAIG COTTAGE,,,LLANFAIRWATERDINE,KNIGHTON,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.3764710000,-3.1040470000
