550000,2003-09-10 00:00:00Z,MK17 0ED,Detached,Established,Freehold,VILLIERS FARM,,DRAYTON ROAD,STOKE HAMMOND,MILTON KEYNES,AYLESBURY VALE,BUCKINGHAMSHIRE,Standard,Addition,51.9622460000,-0.7498550000
600025,2019-10-18 00:00:00Z,MK17 0EB,Other,Established,Freehold,COMMON FARM,,NEWTON ROAD,STOKE HAMMOND,MILTON KEYNES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,Additional,Addition,51.9658920000,-0.7401400000
480025,2020-09-15 00:00:00Z,MK17 0EB,Other,Established,Freehold,COMMON FARM,,NEWTON ROAD,STOKE HAMMOND,MILTON KEYNES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,Additional,Addition,51.9658920000,-0.7401400000
