680000,2008-07-29 00:00:00Z,TS9 6PP,Detached,Established,Freehold,STRAWBERRY FARM,,PANNIERMAN LANE,GREAT AYTON,MIDDLESBROUGH,HAMBLETON,NORTH YORKSHIRE,Standard,Addition,54.4983310000,-1.1613840000
377050,2015-04-13 00:00:00Z,TS7 0NX,Other,Established,Freehold,RAINBOW NURSERIES,,PANNIERMAN LANE,NUNTHORPE,MIDDLESBROUGH,HAMBLETON,NORTH YORKSHIRE,Additional,Addition,54.4978070000,-1.1674470000
495000,2017-04-07 00:00:00Z,TS7 0NX,Other,Established,Freehold,COOKS VIEW NURSERIES,,PANNIERMAN LANE,NUNTHORPE,MIDDLESBROUGH,HAMBLETON,NORTH YORKSHIRE,Additional,Addition,54.4978070000,-1.1674470000
