205000,2000-02-25 00:00:00Z,CB24 4RE,Detached,Established,Freehold,FAIRLAWN,,HUNTINGDON ROAD,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Standard,Addition,52.2707350000,-0.0063540000
535000,2014-10-22 00:00:00Z,CB24 4AE,Other,Established,Leasehold,MERIDIAN,UNIT 2,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2728620000,-0.0096700000
150000,2016-12-02 00:00:00Z,CB24 4AE,Other,Established,Leasehold,MERIDIAN,UNIT 10,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2728620000,-0.0096700000
5150000,2017-07-13 00:00:00Z,CB24 4UQ,Other,Established,Freehold,400,,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2733290000,-0.0082170000
323600,2017-04-10 00:00:00Z,CB24 4AE,Other,Established,Leasehold,MERIDIAN,UNIT 12,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2728620000,-0.0096700000
3700000,2017-08-25 00:00:00Z,CB24 4UQ,Other,Established,Freehold,UNIT 18,,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2733290000,-0.0082170000
3700000,2017-08-25 00:00:00Z,CB24 4AE,Other,Established,Freehold,UNIT 13,,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2728620000,-0.0096700000
550000,2017-09-08 00:00:00Z,CB24 4UQ,Other,Established,Freehold,ALACER HOUSE,,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2733290000,-0.0082170000
34500,2018-10-16 00:00:00Z,CB24 4UQ,Other,Established,Leasehold,CARISBROOKE COURT,UNIT 4,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2733290000,-0.0082170000
2220000,2020-12-01 00:00:00Z,CB24 4AE,Other,Established,Leasehold,MERIDIAN,UNIT 20,BUCKINGWAY BUSINESS PARK,SWAVESEY,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2728620000,-0.0096700000
