272500,2017-12-06 00:00:00Z,NE18 0BL,Detached,Established,Freehold,EACHWICK LODGE,,,EACHWICK,NEWCASTLE UPON TYNE,NORTHUMBERLAND,NORTHUMBERLAND,Standard,Addition,55.0193770000,-1.8240850000
1480000,2017-05-24 00:00:00Z,NE15 0JX,Other,Established,Freehold,TURPINS HILL HOUSE,,,HEDDON ON THE WALL,NEWCASTLE UPON TYNE,NORTHUMBERLAND,NORTHUMBERLAND,Additional,Addition,55.0125160000,-1.8289120000
888000,2017-05-24 00:00:00Z,NE15 0JX,Other,Established,Freehold,EAST ROSE COTTAGE,,,HEDDON ON THE WALL,NEWCASTLE UPON TYNE,NORTHUMBERLAND,NORTHUMBERLAND,Additional,Addition,55.0125160000,-1.8289120000
