58000,1995-01-27 00:00:00Z,TF6 6ET,Semi-Detached,Established,Freehold,SCHOOL BUNGALOW,,,EYTON,TELFORD,THE WREKIN,SHROPSHIRE,Standard,Addition,52.7290690000,-2.5173000000
371000,2003-11-21 00:00:00Z,TF6 6ET,Detached,Established,Freehold,PARK VIEW COTTAGE,,,EYTON,TELFORD,WREKIN,WREKIN,Standard,Addition,52.7290690000,-2.5173000000
440000,2013-01-31 00:00:00Z,TF6 6ET,Detached,Established,Freehold,PARK VIEW COTTAGE,,,EYTON,TELFORD,WREKIN,WREKIN,Standard,Addition,52.7290690000,-2.5173000000
