117500,2003-09-25 00:00:00Z,SG5 4BJ,Semi-Detached,Established,Freehold,1,,MILL LANE,STOTFOLD,HITCHIN,MID BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0319270000,-0.2257140000
600000,2016-05-27 00:00:00Z,SG5 4BJ,Detached,Established,Freehold,MILL HOUSE,,ASTWICK,STOTFOLD,HITCHIN,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Additional,Addition,52.0319270000,-0.2257140000
1175000,2018-10-12 00:00:00Z,SG5 4BJ,Detached,Established,Freehold,OLD MILL COTTAGE,,ASTWICK,STOTFOLD,HITCHIN,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Additional,Addition,52.0319270000,-0.2257140000
