300000,2013-04-05 00:00:00Z,EX14 9AL,Detached,Established,Freehold,LAPSWATER,,,MARSH,HONITON,EAST DEVON,DEVON,Standard,Addition,50.8913630000,-3.0558590000
348500,2016-10-28 00:00:00Z,TA20 3DT,Other,Established,Freehold,NEWHAVEN FARM,,,WHITESTAUNTON,CHARD,SOUTH SOMERSET,SOMERSET,Additional,Addition,50.8909720000,-3.0534120000
325000,2019-12-06 00:00:00Z,TA20 3DT,Detached,Established,Freehold,SOUTHCROFT,,,WHITESTAUNTON,CHARD,SOUTH SOMERSET,SOMERSET,Standard,Addition,50.8909720000,-3.0534120000
