125000,2006-04-25 00:00:00Z,NE48 1RU,Semi-Detached,Established,Leasehold,1,,THE COMB,TARSET,HEXHAM,TYNEDALE,NORTHUMBERLAND,Standard,Addition,55.2080950000,-2.3676400000
193000,2010-10-26 00:00:00Z,NE48 1RS,Detached,Established,Leasehold,WATERHEAD COTTAGE,,,TARSET,HEXHAM,NORTHUMBERLAND,NORTHUMBERLAND,Standard,Addition,55.2046370000,-2.3671840000
55000,2010-04-19 00:00:00Z,NE48 1RS,Detached,Established,Leasehold,WATERHEAD COTTAGE,,,TARSET,HEXHAM,NORTHUMBERLAND,NORTHUMBERLAND,Standard,Addition,55.2046370000,-2.3671840000
