323450,2019-06-28 00:00:00Z,LU7 3GN,Detached,New Build,Freehold,18,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
330950,2019-06-28 00:00:00Z,LU7 3GN,Terraced,New Build,Freehold,16,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
337500,2020-06-26 00:00:00Z,LU7 3GN,Detached,New Build,Freehold,2,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
365000,2020-12-21 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,29,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
367000,2020-12-22 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,31,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
377000,2020-12-18 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,33,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
132000,2020-03-20 00:00:00Z,LU7 3GN,Terraced,Established,Leasehold,43,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
214500,2020-03-30 00:00:00Z,LU7 3GN,Terraced,Established,Leasehold,47,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
165000,2020-04-29 00:00:00Z,LU7 3GN,Terraced,Established,Leasehold,55,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
132000,2020-05-07 00:00:00Z,LU7 3GN,Terraced,Established,Leasehold,53,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
99000,2020-02-21 00:00:00Z,LU7 3GN,Terraced,Established,Leasehold,59,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
375000,2020-12-18 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,35,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
365000,2020-12-18 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,27,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
485000,2020-12-15 00:00:00Z,LU7 3GQ,Detached,New Build,Freehold,17,,BRIGGINGTON WAY,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9228270000,-0.6293540000
365000,2021-02-26 00:00:00Z,LU7 3GQ,Semi-Detached,New Build,Freehold,9,,BRIGGINGTON WAY,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9228270000,-0.6293540000
367000,2021-02-26 00:00:00Z,LU7 3GQ,Semi-Detached,New Build,Freehold,1,,BRIGGINGTON WAY,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9228270000,-0.6293540000
365000,2021-03-04 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,39,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
365000,2021-01-05 00:00:00Z,LU7 3GN,Semi-Detached,New Build,Freehold,37,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
365000,2021-01-29 00:00:00Z,LU7 3GQ,Semi-Detached,New Build,Freehold,11,,BRIGGINGTON WAY,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9228270000,-0.6293540000
416950,2021-01-22 00:00:00Z,LU7 3GN,Detached,New Build,Freehold,25,,GALTON CORNER,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9221310000,-0.6298120000
367000,2021-03-19 00:00:00Z,LU7 3GQ,Semi-Detached,New Build,Freehold,5,,BRIGGINGTON WAY,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9228270000,-0.6293540000
367000,2021-03-19 00:00:00Z,LU7 3GQ,Semi-Detached,New Build,Freehold,3,,BRIGGINGTON WAY,,LEIGHTON BUZZARD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,51.9228270000,-0.6293540000
