70000,1995-06-23 00:00:00Z,DN17 3RD,Detached,Established,Freehold,MELCOT HOUSE,,KIRTON ROAD,MESSINGHAM,SCUNTHORPE,GLANFORD,HUMBERSIDE,Standard,Addition,53.5171860000,-0.6322380000
105000,2007-07-27 00:00:00Z,DN17 3RD,Semi-Detached,Established,Freehold,SCALLOW GROVE COTTAGES,3,KIRTON ROAD,MESSINGHAM,SCUNTHORPE,NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,Standard,Addition,53.5171860000,-0.6322380000
100500,2007-01-08 00:00:00Z,DN17 3RD,Semi-Detached,Established,Freehold,SCALLOW GROVE COTTAGES,4,KIRTON ROAD,MESSINGHAM,SCUNTHORPE,NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,Standard,Addition,53.5171860000,-0.6322380000
92500,2008-07-22 00:00:00Z,DN17 3RD,Semi-Detached,Established,Freehold,SCALLOW GROVE COTTAGES,2,KIRTON ROAD,MESSINGHAM,SCUNTHORPE,NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,Standard,Addition,53.5171860000,-0.6322380000
148000,2018-08-03 00:00:00Z,DN17 3RD,Semi-Detached,Established,Freehold,SCALLOW GROVE COTTAGES,3,KIRTON ROAD,MESSINGHAM,SCUNTHORPE,NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,Standard,Addition,53.5171860000,-0.6322380000
175000,2021-02-19 00:00:00Z,DN17 3RD,Semi-Detached,Established,Freehold,SCALLOW GROVE COTTAGES,3,KIRTON ROAD,MESSINGHAM,SCUNTHORPE,NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,Standard,Addition,53.5171860000,-0.6322380000
