200000,2015-03-24 00:00:00Z,CB7 4GS,Other,Established,Freehold,UNIT 5,,THE DOCK,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3883300000,0.2631310000
310000,2015-09-03 00:00:00Z,CB7 4EX,Other,Established,Freehold,3D,,ST THOMAS PLACE,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3878400000,0.2615540000
800000,2016-05-27 00:00:00Z,CB7 4EX,Detached,Established,Freehold,30,,ST THOMAS PLACE,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3878400000,0.2615540000
245000,2016-04-11 00:00:00Z,CB7 4GS,Detached,Established,Freehold,UNIT 20,,THE DOCK,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Standard,Addition,52.3883300000,0.2631310000
288000,2017-04-07 00:00:00Z,CB7 4EX,Other,Established,Freehold,28,,ST THOMAS PLACE,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3878400000,0.2615540000
340000,2017-03-01 00:00:00Z,CB7 4GS,Other,Established,Freehold,UNIT 20,,THE DOCK,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3883300000,0.2631310000
147000,2018-05-30 00:00:00Z,CB7 4GS,Other,Established,Freehold,UNIT 7,,THE DOCK,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3883300000,0.2631310000
744000,2018-06-21 00:00:00Z,CB7 4EX,Other,Established,Freehold,30,,ST THOMAS PLACE,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3878400000,0.2615540000
500000,2019-05-08 00:00:00Z,CB7 4EX,Other,Established,Freehold,"PROSPECT HOUSE, 3A",,ST THOMAS PLACE,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3878400000,0.2615540000
1320000,2020-01-13 00:00:00Z,CB7 4GG,Other,Established,Freehold,MELROSE HOUSE,,ST THOMAS PLACE,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3872830000,0.2605050000
925000,2021-01-14 00:00:00Z,CB7 4JW,Other,Established,Freehold,"GEORGE COURT, 6",,BARTHOLEMEWS WALK,,ELY,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.3897090000,0.2621350000
