97500,2005-02-25 00:00:00Z,LE17 4JD,Detached,New Build,Freehold,MOORBARNS FARM,THE BUNGALOW,MOORBARNS LANE,LUTTERWORTH,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Standard,Addition,52.4471080000,-1.2219230000
43250,2017-07-25 00:00:00Z,LE17 4FB,Other,New Build,Freehold,54,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
86500,2017-08-18 00:00:00Z,LE17 4FB,Other,New Build,Freehold,45,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
30000,2017-11-10 00:00:00Z,LE17 4FB,Other,New Build,Freehold,52,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
35000,2017-01-17 00:00:00Z,LE17 4FB,Other,New Build,Freehold,43,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
40000,2018-02-23 00:00:00Z,LE17 4FB,Other,Established,Freehold,33,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
10000,2018-01-15 00:00:00Z,LE17 4FB,Other,Established,Freehold,48A,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
40000,2019-09-06 00:00:00Z,LE17 4FB,Other,New Build,Freehold,PLOT 50 LEADERS FARM,,COVENTRY ROAD,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
30000,2019-03-29 00:00:00Z,LE17 4FB,Other,New Build,Freehold,56,,STANLEY WAY,,LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,Additional,Addition,52.4490880000,-1.2250070000
