20000,1996-04-19 00:00:00Z,IP14 6LF,Semi-Detached,Established,Freehold,1,,GRANGE ROAD,WINSTON,STOWMARKET,MID SUFFOLK,SUFFOLK,Standard,Addition,52.2096820000,1.1926350000
272000,2010-12-10 00:00:00Z,IP14 6LH,Detached,Established,Freehold,BOUNDARY COTTAGE,,,FRAMSDEN,STOWMARKET,MID SUFFOLK,SUFFOLK,Standard,Addition,52.2019710000,1.1980540000
352000,2014-01-13 00:00:00Z,IP14 6LH,Detached,Established,Freehold,BOUNDARY COTTAGE,,,FRAMSDEN,STOWMARKET,MID SUFFOLK,SUFFOLK,Standard,Addition,52.2019710000,1.1980540000
