150000,2015-04-08 00:00:00Z,CA27 0ES,Other,Established,Leasehold,BEACH CAFE,,BEACH ROAD,,ST BEES,COPELAND,CUMBRIA,Additional,Addition,54.4898860000,-3.6029640000
155000,2018-10-10 00:00:00Z,CA27 0ES,Terraced,Established,Leasehold,11,,SEACOTE GARDENS,,ST BEES,COPELAND,CUMBRIA,Standard,Addition,54.4898860000,-3.6029640000
140000,2019-11-07 00:00:00Z,CA27 0ES,Terraced,Established,Leasehold,16,,SEACOTE GARDENS,,ST BEES,COPELAND,CUMBRIA,Standard,Addition,54.4898860000,-3.6029640000
280000,2019-05-17 00:00:00Z,CA27 0ES,Detached,New Build,Leasehold,3,,SEACOTE GARDENS,,ST BEES,COPELAND,CUMBRIA,Standard,Addition,54.4898860000,-3.6029640000
195000,2020-01-15 00:00:00Z,CA27 0ES,Terraced,New Build,Leasehold,4,,SEACOTE GARDENS,,ST BEES,COPELAND,CUMBRIA,Standard,Addition,54.4898860000,-3.6029640000
