625000,2011-03-28 00:00:00Z,PL12 5AG,Detached,Established,Freehold,FAIRVIEW HOUSE,,,LANDRAKE,SALTASH,CORNWALL,CORNWALL,Standard,Addition,50.4362750000,-4.3184610000
277000,2017-11-10 00:00:00Z,PL12 5AW,Other,Established,Freehold,LOWER BARN,,,CUTTIVETT,SALTASH,CORNWALL,CORNWALL,Additional,Addition,50.4378240000,-4.3102130000
1350000,2021-10-08 00:00:00Z,PL12 5AW,Other,Established,Freehold,COOMBEROW,,,CUTTIVETT,SALTASH,CORNWALL,CORNWALL,Additional,Addition,50.4378240000,-4.3102130000
