15100000,2019-08-02 00:00:00Z,WF6 1FL,Other,Established,Freehold,PHOTON PARK,,HARVARD WAY,NORMANTON INDUSTRIAL ESTATE,NORMANTON,WAKEFIELD,WEST YORKSHIRE,Additional,Addition,53.7006120000,-1.3794470000
139950,2019-11-28 00:00:00Z,WF10 5GZ,Terraced,New Build,Freehold,14,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
91000,2019-12-05 00:00:00Z,WF10 5GZ,Terraced,New Build,Freehold,8,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Additional,Addition,53.7094010000,-1.3721820000
76000,2019-12-05 00:00:00Z,WF10 5GZ,Terraced,New Build,Freehold,6,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Additional,Addition,53.7094010000,-1.3721820000
76000,2019-12-05 00:00:00Z,WF10 5GZ,Terraced,New Build,Freehold,4,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Additional,Addition,53.7094010000,-1.3721820000
91000,2019-12-05 00:00:00Z,WF10 5GZ,Terraced,New Build,Freehold,2,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Additional,Addition,53.7094010000,-1.3721820000
143500,2020-01-10 00:00:00Z,WF10 5GX,Semi-Detached,Established,Leasehold,3,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
200000,2020-03-06 00:00:00Z,WF10 5PJ,Detached,Established,Freehold,NETHERFIELD FARM,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
159950,2020-12-18 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Freehold,8,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
164950,2020-06-30 00:00:00Z,WF10 5GZ,Semi-Detached,New Build,Freehold,17,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
239950,2020-04-30 00:00:00Z,WF10 5GZ,Detached,New Build,Freehold,9,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
159950,2020-08-28 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Freehold,18,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
214950,2020-01-10 00:00:00Z,WF10 5GZ,Detached,New Build,Freehold,1,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
159950,2020-10-06 00:00:00Z,WF10 5GZ,Terraced,New Build,Freehold,16,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
184950,2020-06-30 00:00:00Z,WF10 5GZ,Detached,New Build,Freehold,11,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
199950,2020-06-26 00:00:00Z,WF10 5GZ,Detached,New Build,Freehold,7,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
154950,2020-05-22 00:00:00Z,WF10 5GZ,Semi-Detached,New Build,Freehold,3,,PEAR TREE WAY,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7094010000,-1.3721820000
159950,2020-06-30 00:00:00Z,WF10 5GX,Semi-Detached,New Build,Freehold,4,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
180000,2020-01-24 00:00:00Z,WF10 5PN,Detached,Established,Freehold,WOOD VIEW,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7098510000,-1.3740540000
160250,2021-03-24 00:00:00Z,WF10 5GX,Semi-Detached,Established,Leasehold,1,,LIME TREE CLOSE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097800000,-1.3707670000
215000,2021-06-17 00:00:00Z,WF10 5PJ,Detached,Established,Freehold,LONG HEDGE,,WOOD LANE,,CASTLEFORD,WAKEFIELD,WEST YORKSHIRE,Standard,Addition,53.7097570000,-1.3784150000
