1075000,2004-12-08 00:00:00Z,CM3 2BJ,Detached,Established,Freehold,GREAT WARLEY BARN,,,FAIRSTEAD,CHELMSFORD,CHELMSFORD,ESSEX,Standard,Addition,51.8302010000,0.5462740000
206500,2009-11-24 00:00:00Z,CM3 2BE,Semi-Detached,Established,Freehold,HAZELTON COTTAGES,1,RANKS GREEN,FAIRSTEAD,CHELMSFORD,BRAINTREE,ESSEX,Standard,Addition,51.8322380000,0.5411050000
265000,2012-06-22 00:00:00Z,CM3 2BE,Semi-Detached,Established,Freehold,HAZELTON COTTAGES,3,RANKS GREEN,FAIRSTEAD,CHELMSFORD,BRAINTREE,ESSEX,Standard,Addition,51.8322380000,0.5411050000
330000,2016-04-18 00:00:00Z,CM3 2BE,Semi-Detached,Established,Freehold,HAZELTON COTTAGES,3,RANKS GREEN,FAIRSTEAD,CHELMSFORD,BRAINTREE,ESSEX,Standard,Addition,51.8322380000,0.5411050000
