282500,1997-08-21 00:00:00Z,CM24 8SU,Detached,Established,Freehold,ALSA WOOD HOUSE,,ALSA WOOD,STANSTED,STANSTED,UTTLESFORD,ESSEX,Standard,Addition,51.9156040000,0.2129760000
345000,1997-01-07 00:00:00Z,CM22 6HW,Detached,Established,Freehold,HAREWOOD COTTAGE,,SNAKES LANE,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9195130000,0.2112230000
172000,1999-12-01 00:00:00Z,CM22 6HN,Semi-Detached,Established,Freehold,1,,ARCADIA VILLAS,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9194140000,0.2145160000
425000,2002-10-24 00:00:00Z,CM22 6HN,Detached,Established,Freehold,OWLS GATE,,DELLOWS LANE,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9194140000,0.2145160000
290000,2006-08-31 00:00:00Z,CM22 6HN,Semi-Detached,Established,Freehold,1,,ARCADIA VILLAS,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9194140000,0.2145160000
900000,2006-09-22 00:00:00Z,CM22 6HW,Detached,Established,Freehold,HAREWOOD COTTAGE,,SNAKES LANE,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9195130000,0.2112230000
314000,2010-01-22 00:00:00Z,CM22 6HN,Semi-Detached,Established,Freehold,1,,ARCADIA VILLAS,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9194140000,0.2145160000
499999,2010-07-23 00:00:00Z,CM22 6HN,Semi-Detached,Established,Freehold,LITTLE DELLOWS,,DELLOWS LANE,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9194140000,0.2145160000
565000,2017-01-13 00:00:00Z,CM22 6HN,Semi-Detached,Established,Freehold,LITTLE DELLOWS,,DELLOWS LANE,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9194140000,0.2145160000
1200000,2021-04-20 00:00:00Z,CM22 6HW,Detached,Established,Freehold,THE COTTAGE,,SNAKES LANE,UGLEY,"BISHOP'S STORTFORD",UTTLESFORD,ESSEX,Standard,Addition,51.9195130000,0.2112230000
