250000,2004-09-10 00:00:00Z,TD9 0TT,Detached,Established,Freehold,GRAHAMS ONSET,COKER HOUSE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1140550000,-2.7644690000
30000,2004-01-30 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,3,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
100000,2005-11-04 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,7,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
325000,2005-06-03 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,BURNSIDE,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
177000,2006-12-08 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,MERLIN COTTAGE,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
226000,2006-05-19 00:00:00Z,TD9 0TT,Semi-Detached,Established,Freehold,GRUBINS HILL FARM,,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1140550000,-2.7644690000
175000,2007-06-29 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,ROSE COTTAGE,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
100000,2007-12-21 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,7,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
198000,2007-09-14 00:00:00Z,TD9 0TP,Detached,Established,Freehold,CUDDYSHALL,,,NEWCASTLETON,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1222730000,-2.7556920000
178000,2008-07-31 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,NORTH KERSHOPE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
50000,2010-03-29 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,4,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
40000,2012-11-02 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,8,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
205000,2013-11-22 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,BATTLE HOUSE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
101500,2013-11-15 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,7,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
210000,2013-07-05 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,LABURNUM HOUSE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
200000,2014-12-05 00:00:00Z,TD9 0TR,Detached,Established,Freehold,BAILEY,OLD SCHOOL HOUSE HOLEHEAD,,,NEWCASTLETON,CARLISLE,CUMBRIA,Additional,Addition,55.1009660000,-2.7543190000
237000,2015-10-30 00:00:00Z,TD9 0TT,Semi-Detached,Established,Freehold,CRUBBINS HILL FARM,,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1140550000,-2.7644690000
190000,2015-05-08 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,NORTH KERSHOPE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
125000,2016-12-08 00:00:00Z,TD9 0TP,Detached,Established,Freehold,CUDDYSHALL,,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1222730000,-2.7556920000
186500,2016-03-30 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,MERLIN COTTAGE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
115000,2018-06-15 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,9,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
122000,2018-04-06 00:00:00Z,TD9 0TW,Detached,Established,Freehold,ROWAN SHIELING,,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1336840000,-2.7717340000
56000,2019-07-08 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,1,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
235000,2019-02-22 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,FOREST LODGE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
115000,2019-03-12 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,5,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
230000,2019-06-26 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,ROSE COTTAGE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
110000,2020-12-17 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,6,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
220000,2020-10-30 00:00:00Z,TD9 0TJ,Semi-Detached,Established,Freehold,KERSHOPEFOOT,NORTH KERSHOPE,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
127500,2020-07-31 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,FOREST VIEW,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
139000,2020-02-17 00:00:00Z,TD9 0TP,Detached,Established,Freehold,CUDDYSHALL,,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1222730000,-2.7556920000
275000,2021-03-02 00:00:00Z,TD9 0TJ,Detached,Established,Freehold,KERSHOPEFOOT,HOLLY BANK,,,NEWCASTLETON,CARLISLE,CUMBRIA,Standard,Addition,55.1370880000,-2.8227640000
