125000,1998-06-17 00:00:00Z,EN6 3LT,Semi-Detached,Established,Freehold,2,,EARLS LANE,SOUTH MIMMS,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6938170000,-0.2410330000
330000,1998-04-21 00:00:00Z,EN6 3LU,Detached,Established,Freehold,DEEVES HALL BARN,,,RIDGE,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6950310000,-0.2464560000
185000,2003-11-06 00:00:00Z,EN6 3LR,Flats/Maisonettes,Established,Leasehold,3,,THE HAWTHORNS,RIDGE,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6906780000,-0.2454860000
1450000,2007-11-21 00:00:00Z,EN6 3LS,Detached,Established,Freehold,DEEVES HALL,,,RIDGE,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6942810000,-0.2473820000
2050000,2010-08-12 00:00:00Z,EN6 3LS,Detached,Established,Freehold,DEEVES HALL,,DEEVES HALL LANE,RIDGE,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6942810000,-0.2473820000
2400000,2013-12-06 00:00:00Z,EN6 3LS,Detached,Established,Freehold,DEEVES HALL,,DEEVES HALL LANE,RIDGE,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6942810000,-0.2473820000
2200000,2019-03-04 00:00:00Z,EN6 3LS,Detached,Established,Freehold,DEEVES HALL,,DEEVES HALL LANE,RIDGE,POTTERS BAR,HERTSMERE,HERTFORDSHIRE,Standard,Addition,51.6942810000,-0.2473820000
