90000,1997-05-23 00:00:00Z,ME9 7UX,Semi-Detached,Established,Freehold,CONEYGARTH,,,HARTLIP,SITTINGBOURNE,SWALE,KENT,Standard,Addition,51.3330120000,0.6112250000
185000,2001-12-20 00:00:00Z,ME9 7XG,Detached,Established,Freehold,HOMESTEAD FARM,,YELSTED ROAD,YELSTED,SITTINGBOURNE,MAIDSTONE,KENT,Standard,Addition,51.3328800000,0.6179660000
470000,2007-04-02 00:00:00Z,ME9 7XG,Detached,Established,Freehold,THE FOLLIES,,YELSTED ROAD,YELSTED,SITTINGBOURNE,MAIDSTONE,KENT,Standard,Addition,51.3328800000,0.6179660000
