220000,1998-02-12 00:00:00Z,WA13 0TF,Detached,Established,Freehold,RED OAK COTTAGE,,MAG LANE,LYMM,LYMM,MACCLESFIELD,CHESHIRE,Standard,Addition,53.3620230000,-2.4726460000
675000,2011-08-15 00:00:00Z,WA13 0TH,Detached,Established,Freehold,OAKLAWN,,CROUCHLEY LANE,,LYMM,WARRINGTON,WARRINGTON,Standard,Addition,53.3697600000,-2.4731520000
3050000,2019-04-05 00:00:00Z,WA13 0TH,Other,Established,Freehold,YEWTREE FARM,,CROUCHLEY LANE,,LYMM,WARRINGTON,WARRINGTON,Additional,Addition,53.3697600000,-2.4731520000
