230000,1999-11-19 00:00:00Z,SY9 5EB,Detached,Established,Freehold,WHITCOT HOUSE,,,WHITCOT,BISHOPS CASTLE,SOUTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.5207080000,-2.9192150000
375000,2006-09-22 00:00:00Z,SY9 5DZ,Detached,Established,Freehold,WALKMILL,WALKMILL LODGE,,NORBURY,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.5298400000,-2.9170770000
375000,2006-09-22 00:00:00Z,SY9 5DZ,Detached,Established,Freehold,WALK MILL,STONE COTTAGE,,NORBURY,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.5298400000,-2.9170770000
395000,2017-10-10 00:00:00Z,SY9 5DZ,Detached,Established,Freehold,WALK MILL,WALKMILL HOUSE,,NORBURY,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.5298400000,-2.9170770000
440000,2017-11-27 00:00:00Z,SY9 5DZ,Other,Established,Freehold,WALK MILL,STONE COTTAGE,,NORBURY,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.5298400000,-2.9170770000
347000,2018-03-16 00:00:00Z,SY9 5DZ,Other,Established,Freehold,WALKMILL,WALKMILL LODGE,,NORBURY,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.5298400000,-2.9170770000
