390000,1998-01-07 00:00:00Z,ME9 0ES,Detached,Established,Freehold,CHERRY GARDENS,,NOUDS LANE,LYNSTED,SITTINGBOURNE,SWALE,KENT,Standard,Addition,51.3177880000,0.8077350000
157000,2001-03-26 00:00:00Z,ME9 0HR,Terraced,Established,Freehold,UPPER TICKHAM COTTAGES,1,TICKHAM LANE,LYNSTED,SITTINGBOURNE,SWALE,KENT,Standard,Addition,51.3112820000,0.8078550000
235000,2014-12-04 00:00:00Z,ME9 0HR,Terraced,Established,Freehold,UPPER TICKHAM COTTAGES,3,TICKHAM LANE,LYNSTED,SITTINGBOURNE,SWALE,KENT,Standard,Addition,51.3112820000,0.8078550000
232450,2014-10-23 00:00:00Z,ME9 0HR,Terraced,Established,Freehold,UPPER TICKHAM COTTAGES,2,TICKHAM LANE,LYNSTED,SITTINGBOURNE,SWALE,KENT,Standard,Addition,51.3112820000,0.8078550000
397500,2017-03-14 00:00:00Z,ME9 0HR,Terraced,Established,Freehold,UPPER TICKHAM COTTAGES,4,TICKHAM LANE,LYNSTED,SITTINGBOURNE,SWALE,KENT,Standard,Addition,51.3112820000,0.8078550000
