260000,2016-11-18 00:00:00Z,NR32 5LG,Detached,Established,Freehold,THE SHIELING,,COAST ROAD,CORTON,LOWESTOFT,WAVENEY,SUFFOLK,Standard,Addition,52.5273910000,1.7340320000
10284754,2018-09-21 00:00:00Z,NR32 5LQ,Other,Established,Freehold,BROADLAND SANDS HOLIDAY PARK,,COAST ROAD,CORTON,LOWESTOFT,WAVENEY,SUFFOLK,Additional,Addition,52.5256160000,1.7390530000
8109000,2018-09-27 00:00:00Z,NR32 5LQ,Other,Established,Freehold,BROADLAND SANDS HOLIDAY PARK,,COAST ROAD,CORTON,LOWESTOFT,EAST SUFFOLK,SUFFOLK,Additional,Addition,52.5256160000,1.7390530000
