110000,1998-11-27 00:00:00Z,CH2 4JS,Semi-Detached,Established,Freehold,MORLEY BRIDGE COTTAGES,1,CHESTER ROAD,BRIDGE TRAFFORD,CHESTER,CHESTER,CHESHIRE,Standard,Addition,53.2388970000,-2.8108290000
499995,2006-12-04 00:00:00Z,CH2 4JT,Detached,Established,Freehold,MORLEY BRIDGE HOUSE,,CHESTER ROAD,BRIDGE TRAFFORD,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.2386280000,-2.8124130000
346625,2006-02-01 00:00:00Z,CH2 4JT,Detached,Established,Freehold,MORLEY BRIDGE HOUSE,,CHESTER ROAD,BRIDGE TRAFFORD,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.2386280000,-2.8124130000
500000,2019-03-07 00:00:00Z,CH2 4JT,Other,Established,Freehold,MORLEY BRIDGE HOUSE,,CHESTER ROAD,BRIDGE TRAFFORD,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Additional,Addition,53.2386280000,-2.8124130000
934332,2021-03-04 00:00:00Z,CH2 4JT,Detached,Established,Freehold,MORLEY BRIDGE HOUSE,,CHESTER ROAD,BRIDGE TRAFFORD,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Additional,Addition,53.2386280000,-2.8124130000
