490000,2014-01-28 00:00:00Z,BA5 3EY,Detached,Established,Freehold,WHITNELL HOUSE,,BENNETTS LANE,HAYDON,WELLS,MENDIP,SOMERSET,Standard,Addition,51.2364070000,-2.5706670000
740000,2018-04-17 00:00:00Z,BA3 4UL,Other,Established,Freehold,ROOKERY FARM,UNIT 4,,BINEGAR,RADSTOCK,MENDIP,SOMERSET,Additional,Addition,51.2320310000,-2.5701680000
660000,2018-04-17 00:00:00Z,BA3 4UL,Other,Established,Freehold,FARMHOUSE,,,BINEGAR,RADSTOCK,MENDIP,SOMERSET,Additional,Addition,51.2320310000,-2.5701680000
