185000,1999-12-23 00:00:00Z,CT4 6EE,Detached,Established,Freehold,LYNSORE COURT BUNGALOW,,LYNSORE BOTTOM,UPPER HARDRES,CANTERBURY,CANTERBURY,KENT,Standard,Addition,51.1966560000,1.0956750000
315000,2014-01-10 00:00:00Z,CT4 6EF,Semi-Detached,Established,Freehold,COVERT HOUSE,,PALMSTEAD,UPPER HARDRES,CANTERBURY,CANTERBURY,KENT,Standard,Addition,51.1913510000,1.0990130000
555000,2021-08-26 00:00:00Z,CT4 6EF,Semi-Detached,Established,Freehold,COVERT HOUSE,,PALMSTEAD,UPPER HARDRES,CANTERBURY,CANTERBURY,KENT,Standard,Addition,51.1913510000,1.0990130000
