115000,2005-12-22 00:00:00Z,TF11 9PQ,Terraced,New Build,Freehold,BLYTHBURY FARM,TUMBLEDOWN BARN,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
115000,2006-11-29 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,HAYLOFT,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
218000,2008-10-17 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,THE STABLE BARN,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
165000,2009-12-03 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,THE DAIRY HOUSE,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
162000,2010-04-22 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,THE DAIRY HOUSE,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
239500,2011-06-17 00:00:00Z,TF11 9PQ,Semi-Detached,Established,Freehold,BLYTHBURY FARM,FIELD VIEW BARN,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
174500,2014-11-10 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,THE DAIRY HOUSE,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
230000,2016-04-22 00:00:00Z,TF11 9PQ,Semi-Detached,Established,Freehold,BLYTHBURY FARM,HAYLOFT,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
227500,2018-05-25 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,THE STABLE BARN,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
235000,2018-07-27 00:00:00Z,TF11 9PQ,Semi-Detached,Established,Freehold,BLYTHBURY FARM,HAYLOFT,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
257000,2019-08-30 00:00:00Z,TF11 9PQ,Terraced,Established,Freehold,BLYTHBURY FARM,TUMBLEDOWN BARN,,,SHIFNAL,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.6700210000,-2.4085060000
