197000,1995-03-17 00:00:00Z,WS15 4LP,Detached,New Build,Freehold,CROSS ASH COTTAGE,,CROSS ASH,RUGELEY,RUGELEY,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.7139810000,-1.9028360000
950000,2008-02-28 00:00:00Z,WS15 4LW,Detached,Established,Freehold,GRAND LODGE,,HORSEY LANE,RUGELEY,RUGELEY,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.7176390000,-1.9028580000
1600000,2021-04-09 00:00:00Z,WS15 4LW,Detached,Established,Freehold,GRAND LODGE,,HORSEY LANE,,RUGELEY,LICHFIELD,STAFFORDSHIRE,Standard,Addition,52.7176390000,-1.9028580000
