10600000,2017-05-17 00:00:00Z,M28 1GF,Other,Established,Freehold,2,,KEEGAN DRIVE,WORSLEY,MANCHESTER,WIGAN,GREATER MANCHESTER,Additional,Addition,53.4962230000,-2.4300610000
459995,2021-06-24 00:00:00Z,M28 1GF,Detached,New Build,Freehold,8,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
539995,2021-06-25 00:00:00Z,M28 1GF,Detached,New Build,Freehold,12,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
489995,2021-06-18 00:00:00Z,M28 1GF,Detached,New Build,Freehold,6,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
491995,2021-06-25 00:00:00Z,M28 1GF,Detached,New Build,Freehold,10,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
399995,2021-03-26 00:00:00Z,M28 1GF,Detached,New Build,Freehold,5,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
373995,2021-05-28 00:00:00Z,M28 1GF,Detached,New Build,Freehold,4,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
399995,2021-03-26 00:00:00Z,M28 1GF,Detached,New Build,Freehold,2,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
399995,2021-03-29 00:00:00Z,M28 1GF,Detached,New Build,Freehold,3,,KEEGAN DRIVE,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4962230000,-2.4300610000
