225000,1997-04-11 00:00:00Z,YO8 6ED,Detached,Established,Freehold,TURNHAM HALL,,TURNHAM LANE,CLIFFE,SELBY,SELBY,NORTH YORKSHIRE,Standard,Addition,53.7750820000,-1.0221730000
117750,2007-08-31 00:00:00Z,YO8 6EB,Semi-Detached,Established,Freehold,NEWLAND COTTAGES,2,CLIFFE BANK,SELBY,SELBY,SELBY,NORTH YORKSHIRE,Standard,Addition,53.7777160000,-1.0299570000
170000,2017-08-29 00:00:00Z,YO8 6EB,Semi-Detached,Established,Freehold,NEWLAND COTTAGES,2,CLIFFE BANK,,SELBY,SELBY,NORTH YORKSHIRE,Standard,Addition,53.7777160000,-1.0299570000
