250000,2006-01-31 00:00:00Z,BB6 8AJ,Detached,Established,Freehold,1,,MOOREND COTTAGES,DINCKLEY,BLACKBURN,BLACKBURN WITH DARWEN,BLACKBURN WITH DARWEN,Standard,Addition,53.8150780000,-2.4707450000
2950000,2018-12-07 00:00:00Z,BB6 8AL,Other,Established,Freehold,NEW MARLES FARM,,RIBCHESTER ROAD,DINCKLEY,BLACKBURN,RIBBLE VALLEY,LANCASHIRE,Additional,Addition,53.8169740000,-2.4799700000
300000,2018-12-07 00:00:00Z,BB6 8AL,Detached,Established,Freehold,WOODFIELD,,RIBCHESTER ROAD,DINCKLEY,BLACKBURN,RIBBLE VALLEY,LANCASHIRE,Standard,Addition,53.8169740000,-2.4799700000
