112000,2019-05-01 00:00:00Z,NE21 5NH,Other,Established,Freehold,BANKS COURT,UNIT 7,TRANSBRITANNIA ENTERPRISE PARK,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9678110000,-1.6987430000
80000,2019-03-07 00:00:00Z,NE21 5NH,Other,Established,Freehold,VANCE COURT,UNIT 9,TRANSBRITANNIA ENTERPRISE PARK,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9678110000,-1.6987430000
605000,2019-03-01 00:00:00Z,NE21 5SZ,Other,Established,Freehold,INTERSERVE INDUSTRIAL SERVICES,,CHAINBRIDGE ROAD,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9651760000,-1.6942950000
354000,2019-12-06 00:00:00Z,NE21 5SJ,Other,Established,Leasehold,CHAINBRIDGE INDUSTRIAL ESTATE,UNIT 7,TUNDRY WAY,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9672870000,-1.6946200000
300000,2020-08-26 00:00:00Z,NE21 5NH,Other,Established,Leasehold,BLEZARD COURT,UNIT 3,TRANSBRITANNIA ENTERPRISE PARK,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9678110000,-1.6987430000
240000,2020-07-14 00:00:00Z,NE21 5SJ,Other,Established,Leasehold,CHAINBRIDGE INDUSTRIAL ESTATE,UNIT 6,TUNDRY WAY,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9672870000,-1.6946200000
185000,2020-12-11 00:00:00Z,NE21 5NH,Other,Established,Leasehold,BANKS COURT,UNIT 5,TRANSBRITANNIA ENTERPRISE PARK,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9678110000,-1.6987430000
480000,2020-07-02 00:00:00Z,NE21 5SJ,Other,Established,Leasehold,FACTORY SHOP CENTRE,UNIT 1,TUNDRY WAY,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9672870000,-1.6946200000
55000,2021-04-01 00:00:00Z,NE21 5NH,Other,Established,Freehold,BANKS COURT,UNIT 8,TRANSBRITANNIA ENTERPRISE PARK,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9678110000,-1.6987430000
36000,2021-05-17 00:00:00Z,NE21 5SJ,Other,Established,Leasehold,UNIT 1,CAFE,TUNDRY WAY,,BLAYDON-ON-TYNE,GATESHEAD,TYNE AND WEAR,Additional,Addition,54.9672870000,-1.6946200000
