310500,1995-03-17 00:00:00Z,CH64 5SL,Detached,Established,Freehold,HEATH HEY,,PUDDINGTON LANE,PUDDINGTON,NESTON,CHESTER,CHESHIRE,Standard,Addition,53.2645240000,-2.9920070000
158000,2001-03-09 00:00:00Z,CH66 8PQ,Detached,Established,Freehold,GARDEN COTTAGE,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,ELLESMERE PORT AND NESTON,CHESHIRE,Standard,Addition,53.2691080000,-2.9909280000
325000,2003-05-30 00:00:00Z,CH66 8PQ,Detached,Established,Freehold,QUINTREL,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,ELLESMERE PORT AND NESTON,CHESHIRE,Standard,Addition,53.2691080000,-2.9909280000
560000,2005-09-26 00:00:00Z,CH66 8PQ,Detached,Established,Freehold,WOODLANDS,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,ELLESMERE PORT AND NESTON,CHESHIRE,Standard,Addition,53.2691080000,-2.9909280000
465000,2006-06-05 00:00:00Z,CH66 8PQ,Detached,Established,Freehold,QUINTREL,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,ELLESMERE PORT AND NESTON,CHESHIRE,Standard,Addition,53.2691080000,-2.9909280000
517000,2015-08-28 00:00:00Z,CH66 8PQ,Detached,Established,Freehold,QUINTREL,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.2691080000,-2.9909280000
525000,2017-02-24 00:00:00Z,CH66 8PQ,Detached,Established,Freehold,WOOD FIELDS FARM,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.2691080000,-2.9909280000
436000,2019-10-11 00:00:00Z,CH66 8PQ,Other,Established,Freehold,GARDEN COTTAGE,,BADGERS RAKE LANE,LEDSHAM,ELLESMERE PORT,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Additional,Addition,53.2691080000,-2.9909280000
