220000,1997-05-08 00:00:00Z,WA5 4DE,Detached,Established,Freehold,JOY LANE FARM,,JOY LANE,BURTONWOOD,WARRINGTON,WARRINGTON,WARRINGTON,Standard,Addition,53.4190670000,-2.6650950000
5826812,2019-10-01 00:00:00Z,WA5 4AH,Other,Established,Freehold,UNIT 4,,LOCKHEED ROAD,BURTONWOOD,WARRINGTON,WARRINGTON,WARRINGTON,Additional,Addition,53.4153650000,-2.6612600000
37350000,2020-12-24 00:00:00Z,WA5 4AH,Other,Established,Freehold,UNIT 2,,LOCKHEED ROAD,BURTONWOOD,WARRINGTON,WARRINGTON,WARRINGTON,Additional,Addition,53.4153650000,-2.6612600000
