42500,2004-06-01 00:00:00Z,BA3 5HP,Detached,Established,Freehold,OLD BRICK WORKS,,,STOKE ST MICHAEL,RADSTOCK,MENDIP,SOMERSET,Standard,Addition,51.2311200000,-2.4915550000
1150000,2017-07-17 00:00:00Z,BA3 5HS,Other,Established,Freehold,NEWLANDS NETTLEBRIDGE,,,OAKHILL,RADSTOCK,MENDIP,SOMERSET,Additional,Addition,51.2344270000,-2.4971630000
610000,2020-10-15 00:00:00Z,BA3 5HS,Other,Established,Freehold,WOODSIDE,,,OAKHILL,RADSTOCK,MENDIP,SOMERSET,Additional,Addition,51.2344270000,-2.4971630000
