10000000,2017-12-08 00:00:00Z,EC4N 7BW,Terraced,Established,Freehold,15,,ABCHURCH LANE,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5117510000,-0.0881590000
9373981,2017-05-04 00:00:00Z,EC4N 7HR,Other,Established,Leasehold,72,,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5112010000,-0.0868880000
1056132,2018-07-20 00:00:00Z,EC4N 7AR,Other,Established,Leasehold,1,4TH FLOOR,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5125300000,-0.0884170000
3076,2018-02-27 00:00:00Z,EC4N 7HR,Other,Established,Leasehold,"GROUND FLOOR AND MEZZANINE, 72",,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5112010000,-0.0868880000
35000,2018-03-02 00:00:00Z,EC4N 1TX,Other,Established,Leasehold,"ALDERMARY HOUSE, 15",SEVENTH FLOOR,QUEEN STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5129670000,-0.0926760000
400000,2018-09-10 00:00:00Z,EC4N 8AD,Other,Established,Leasehold,21,,ST SWITHINS LANE,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5118330000,-0.0888330000
1849055,2018-09-24 00:00:00Z,EC4N 1TX,Other,Established,Leasehold,"ALDERMARY HOUSE, 15",GROUND FLOOR,QUEEN STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5129670000,-0.0926760000
10000,2018-10-05 00:00:00Z,EC4N 7HR,Other,Established,Leasehold,"GROUND FLOOR AND MEZZANINE, 72",,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5112010000,-0.0868880000
24510000,2018-05-11 00:00:00Z,EC4N 7BP,Other,Established,Leasehold,"MONUMENT HOUSE, 18",,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5111320000,-0.0872050000
40000,2018-10-11 00:00:00Z,EC4N 5AA,Other,Established,Leasehold,61,,CANNON STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5123140000,-0.0929350000
76000000,2018-08-30 00:00:00Z,EC4N 1SE,Other,Established,Freehold,85,,QUEEN STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5133460000,-0.0922570000
2000000,2018-08-23 00:00:00Z,EC4N 8AF,Other,Established,Leasehold,"THE WALBROOK BUILDING, 25",PART GROUND FLOOR AND LOWER GROUND FLOOR,WALBROOK,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5121540000,-0.0901770000
800000,2019-02-12 00:00:00Z,EC4N 5AX,Other,Established,Freehold,129,,CANNON STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5114190000,-0.0886800000
2500,2019-09-12 00:00:00Z,EC4N 4SJ,Other,Established,Leasehold,68 - 72,BASEMENT AND GROUND FLOOR,QUEEN VICTORIA STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5125420000,-0.0935480000
17000000,2020-09-08 00:00:00Z,EC4N 6AE,Other,Established,Freehold,68,,CANNON STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5117150000,-0.0913770000
130500000,2021-07-22 00:00:00Z,EC4N 7BL,Other,Established,Freehold,CAPITAL HOUSE,FOURTH FLOOR PREMISES,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5124030000,-0.0879150000
130500000,2021-07-22 00:00:00Z,EC4N 7BL,Other,Established,Freehold,CAPITAL HOUSE,FOURTH FLOOR PREMISES,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5124030000,-0.0879150000
130500000,2021-07-22 00:00:00Z,EC4N 7BL,Other,Established,Freehold,"CAPITAL HOUSE, 85",,KING WILLIAM STREET,,LONDON,CITY OF LONDON,GREATER LONDON,Additional,Addition,51.5124030000,-0.0879150000
