36000,1995-07-05 00:00:00Z,DL14 0EU,Terraced,Established,Freehold,18,,,LOW ETHERLEY,BISHOP AUCKLAND,TEESDALE,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
116000,1996-07-08 00:00:00Z,DL14 0JG,Detached,Established,Freehold,20,,,ETHERLEY GRANGE,BISHOP AUCKLAND,WEAR VALLEY,DURHAM,Standard,Addition,54.6552100000,-1.7341890000
70000,1996-09-19 00:00:00Z,DL14 0EU,Semi-Detached,Established,Freehold,8A,,,LOW ETHERLEY,BISHOP AUCKLAND,TEESDALE,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
26875,1998-03-20 00:00:00Z,DL14 0EU,Terraced,Established,Freehold,100,,,LOW ETHERLEY,BISHOP AUCKLAND,TEESDALE,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
110000,2000-09-06 00:00:00Z,DL14 0EU,Detached,Established,Freehold,32,,,LOW ETHERLEY,BISHOP AUCKLAND,WEAR VALLEY,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
31500,2000-11-28 00:00:00Z,DL14 0EU,Terraced,Established,Freehold,16,,,LOW ETHERLEY,BISHOP AUCKLAND,WEAR VALLEY,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
23500,2000-11-17 00:00:00Z,DL14 0EU,Terraced,Established,Freehold,14,,,LOW ETHERLEY,BISHOP AUCKLAND,WEAR VALLEY,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
49000,2002-01-23 00:00:00Z,DL14 0EU,Semi-Detached,Established,Freehold,26,,,LOW ETHERLEY,BISHOP AUCKLAND,TEESDALE,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
103000,2004-10-29 00:00:00Z,DL14 0EU,Terraced,Established,Freehold,16,,,LOW ETHERLEY,BISHOP AUCKLAND,TEESDALE,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
55000,2005-07-27 00:00:00Z,DL14 0EU,Terraced,Established,Freehold,102,,,LOW ETHERLEY,BISHOP AUCKLAND,TEESDALE,DURHAM,Standard,Addition,54.6548520000,-1.7389880000
