395000,2019-11-29 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,6,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
349000,2019-12-13 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,16,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
369000,2020-05-15 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,1,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
391000,2020-10-30 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,9,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
435000,2020-12-11 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,20,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
341000,2020-12-11 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,21,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
90009,2020-01-17 00:00:00Z,LE12 9FJ,Terraced,New Build,Freehold,22,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Additional,Addition,52.7640080000,-1.3140300000
405000,2020-02-07 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,4,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
335000,2020-02-21 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,14,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
345000,2020-06-26 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,18,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
346000,2020-08-24 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,23,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
431000,2020-08-14 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,2,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
430000,2020-10-15 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,10,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
346000,2020-03-27 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,17,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
405000,2020-03-20 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,12,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
341000,2020-05-29 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,19,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
409000,2020-05-29 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,15,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
405000,2020-06-29 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,7,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
435000,2020-02-21 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,8,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
380000,2020-12-10 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,11,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
380000,2021-02-16 00:00:00Z,LE12 9FJ,Detached,New Build,Freehold,5,,FOXGLOVE DRIVE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7640080000,-1.3140300000
349000,2021-06-21 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,5,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
439000,2021-03-26 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,3,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
431000,2021-02-26 00:00:00Z,LE12 9FS,Detached,New Build,Freehold,14,,IRIS CLOSE,SHEPSHED,LOUGHBOROUGH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,Standard,Addition,52.7644490000,-1.3141120000
