355000,1995-08-18 00:00:00Z,HP23 6LY,Detached,Established,Freehold,OAKENGROVE,,SHIRE LANE,HASTOE,TRING,AYLESBURY VALE,BUCKINGHAMSHIRE,Standard,Addition,51.7687460000,-0.6731520000
199950,1999-09-07 00:00:00Z,HP23 6LZ,Semi-Detached,Established,Freehold,1,,BRIDLE WAY,CHOLESBURY,TRING,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.7670290000,-0.6755930000
184000,1999-12-03 00:00:00Z,HP23 6LZ,Semi-Detached,Established,Freehold,2,,BRIDLE WAY,CHOLESBURY,TRING,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.7670290000,-0.6755930000
80000,2000-05-18 00:00:00Z,HP23 6LZ,Semi-Detached,Established,Freehold,4,,BRIDLE WAY,CHOLESBURY,TRING,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.7670290000,-0.6755930000
126210,2000-04-14 00:00:00Z,HP23 6LZ,Semi-Detached,Established,Freehold,3,,BRIDLE WAY,CHOLESBURY,TRING,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.7670290000,-0.6755930000
80000,2002-08-27 00:00:00Z,HP23 6LZ,Semi-Detached,Established,Freehold,4,,BRIDLE WAY,CHOLESBURY,TRING,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.7670290000,-0.6755930000
312500,2003-11-20 00:00:00Z,HP23 6LZ,Semi-Detached,Established,Freehold,2,,BRIDLE WAY,CHOLESBURY,TRING,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.7670290000,-0.6755930000
