43000,1996-11-21 00:00:00Z,LN9 5NS,Detached,Established,Freehold,WHITE HOUSE FARM,,LINCOLN ROAD,MINTING,HORNCASTLE,EAST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.2603390000,-0.2158630000
29500,1997-10-14 00:00:00Z,LN9 5NU,Detached,Established,Freehold,FAIRCHANCE,,STURTON LANE,BAUMBER,HORNCASTLE,EAST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.2604800000,-0.2132630000
40000,2002-10-08 00:00:00Z,LN9 5NU,Detached,Established,Freehold,FAIRCHANCE,,STURTON LANE,BAUMBER,HORNCASTLE,EAST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.2604800000,-0.2132630000
145000,2007-06-01 00:00:00Z,LN9 5NU,Detached,Established,Freehold,FAIRCHANCE,,STURTON LANE,BAUMBER,HORNCASTLE,EAST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.2604800000,-0.2132630000
