80000,2005-10-10 00:00:00Z,L11 0DE,Terraced,Established,Freehold,47,,NEWDOWN ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600180000,-2.8974540000
80000,2006-04-13 00:00:00Z,L11 0AS,Semi-Detached,Established,Freehold,17,,CREDITON CLOSE,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614290000,-2.8987040000
80000,2006-11-13 00:00:00Z,L11 0AJ,Terraced,Established,Freehold,6,,MALPAS ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
75000,2006-12-15 00:00:00Z,L11 0AX,Terraced,Established,Freehold,6,,PORTLEMOUTH ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4606940000,-2.8996370000
110000,2006-01-03 00:00:00Z,L11 0AR,Semi-Detached,Established,Freehold,12,,CALLESTOCK CLOSE,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4619010000,-2.8969670000
88000,2006-11-17 00:00:00Z,L11 0AJ,Semi-Detached,Established,Freehold,9,,MALPAS ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
65000,2006-03-06 00:00:00Z,L11 0DF,Terraced,Established,Freehold,16,,NEWDOWN ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600550000,-2.8961290000
85000,2006-03-10 00:00:00Z,L11 0AF,Terraced,Established,Leasehold,95,,PETHERICK ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
100000,2006-11-24 00:00:00Z,L11 6LS,Terraced,Established,Freehold,50,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
92000,2006-08-28 00:00:00Z,L11 0AP,Terraced,Established,Freehold,123,,PARKVIEW ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
67000,2007-05-15 00:00:00Z,L11 0DE,Semi-Detached,Established,Freehold,7,,NEWDOWN ROAD,LIVERPOOL,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600180000,-2.8974540000
