104000,1997-03-24 00:00:00Z,PL8 2DQ,Detached,New Build,Freehold,STEER POINT HOUSE,,,STEER POINT,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3350480000,-4.0444590000
155000,1999-10-08 00:00:00Z,PL8 2DF,Terraced,Established,Freehold,SOUTH BARTON,APPLE BARN,,BRIXTON,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3392420000,-4.0424750000
95000,1999-03-04 00:00:00Z,PL8 2DF,Terraced,Established,Freehold,SOUTH BARTON,OLD FARMHOUSE,,BRIXTON,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3392420000,-4.0424750000
163500,2000-01-05 00:00:00Z,PL8 2DF,Terraced,Established,Freehold,SOUTH BARTON,TIDE BARN,,BRIXTON,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3392420000,-4.0424750000
145000,2000-09-13 00:00:00Z,PL8 2DF,Terraced,Established,Freehold,SOUTH BARTON,MOWHAY,,BRIXTON,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3392420000,-4.0424750000
350000,2015-10-02 00:00:00Z,PL8 2DF,Terraced,Established,Freehold,SOUTH BARTON,THE SHIPPEN,,BRIXTON,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3392420000,-4.0424750000
472500,2015-11-05 00:00:00Z,PL8 2DF,Terraced,Established,Freehold,SOUTH BARTON,MOWHAY,,BRIXTON,PLYMOUTH,SOUTH HAMS,DEVON,Standard,Addition,50.3392420000,-4.0424750000
