30000,1995-03-25 00:00:00Z,SA13 2SH,Detached,Established,Freehold,GALLTCWM FARM,,,BRYN,PORT TALBOT,PORT TALBOT,WEST GLAMORGAN,Standard,Addition,51.6050590000,-3.7303690000
505000,2015-04-07 00:00:00Z,SA13 2PY,Other,Established,Freehold,PEN Y CASTELL,,,BRYN,PORT TALBOT,NEATH PORT TALBOT,NEATH PORT TALBOT,Additional,Addition,51.6097460000,-3.7347380000
350000,2016-10-21 00:00:00Z,SA13 2SH,Other,Established,Freehold,THE OLD MILL,,,BRYN,PORT TALBOT,NEATH PORT TALBOT,NEATH PORT TALBOT,Additional,Addition,51.6050590000,-3.7303690000
