185000,2003-07-11 00:00:00Z,NR16 1RX,Semi-Detached,Established,Freehold,ESPERANTO,,THE TURNPIKE,CARLETON RODE,NORWICH,SOUTH NORFOLK,NORFOLK,Standard,Addition,52.4844050000,1.1237160000
250000,2004-11-17 00:00:00Z,NR16 1RY,Detached,New Build,Freehold,PLOT 5,,NORWICH ROAD,BUNWELL,NORWICH,SOUTH NORFOLK,NORFOLK,Standard,Addition,52.4856330000,1.1248940000
315000,2008-11-28 00:00:00Z,NR16 1RY,Detached,Established,Freehold,BURNT HOUSE,,NORWICH ROAD,BUNWELL,NORWICH,SOUTH NORFOLK,NORFOLK,Standard,Addition,52.4856330000,1.1248940000
