805000,2007-08-24 00:00:00Z,LE18 3TE,Detached,Established,Freehold,WAYSIDE FARM,,WELFORD ROAD,WIGSTON,WIGSTON,BLABY,LEICESTERSHIRE,Standard,Addition,52.5683890000,-1.1004360000
127000,2009-09-07 00:00:00Z,LE18 3TF,Semi-Detached,Established,Freehold,KILBY BRIDGE COTTAGES,WATERSIDE COTTAGE 6,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
110000,2013-03-28 00:00:00Z,LE18 3TF,Terraced,Established,Freehold,KILBY BRIDGE COTTAGE,1,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
60000,2013-10-24 00:00:00Z,LE18 3TF,Terraced,Established,Freehold,KILBY BRIDGE COTTAGE,2,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
90000,2013-03-28 00:00:00Z,LE18 3TF,Terraced,Established,Freehold,KILBY BRIDGE COTTAGE,4,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
90000,2014-12-22 00:00:00Z,LE18 3TF,Terraced,Established,Freehold,KILBY BRIDGE COTTAGE,3,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
95000,2014-06-19 00:00:00Z,LE18 3TF,Semi-Detached,Established,Freehold,KILBY BRIDGE COTTAGE,5,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
168000,2017-11-15 00:00:00Z,LE18 3TF,Semi-Detached,Established,Freehold,KILBY BRIDGE COTTAGES,WATERSIDE COTTAGE 6,WELFORD ROAD,,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,Standard,Addition,52.5672170000,-1.1013240000
