199000,2006-05-22 00:00:00Z,SY13 4LZ,Semi-Detached,Established,Freehold,2,,POOLES COTTAGES,HOLLYHURST,WHITCHURCH,CREWE AND NANTWICH,CHESHIRE,Standard,Addition,52.9955220000,-2.6365300000
450000,2010-03-04 00:00:00Z,SY13 4LZ,Detached,Established,Freehold,BOTTLE LODGE,,,HOLLYHURST,WHITCHURCH,CHESHIRE EAST,CHESHIRE EAST,Standard,Addition,52.9955220000,-2.6365300000
355000,2020-01-17 00:00:00Z,SY13 4LZ,Detached,Established,Freehold,BOTTLE LODGE,,,HOLLYHURST,WHITCHURCH,CHESHIRE EAST,CHESHIRE EAST,Standard,Addition,52.9955220000,-2.6365300000
