375000,2000-01-18 00:00:00Z,SG4 7BX,Flats/Maisonettes,Established,Freehold,WESTON PARK,FLAT 1,,WESTON,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.9482120000,-0.1640750000
600000,2017-04-10 00:00:00Z,SG4 7BU,Other,Established,Freehold,FRIENDS GREEN FARM,,FRIENDS GREEN,WESTON,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Additional,Addition,51.9409590000,-0.1683910000
50000,2021-02-07 00:00:00Z,SG4 7BU,Other,Established,Freehold,FRIENDS GREEN FARM,,FRIENDS GREEN,WESTON,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Additional,Addition,51.9409590000,-0.1683910000
