2477,2014-01-21 00:00:00Z,CV10 7PP,Other,Established,Leasehold,UNITS 5-13,,GRIFF CLARA INDUSTRIAL ESTATE,GRIFF,NUNEATON,NUNEATON AND BEDWORTH,WARWICKSHIRE,Additional,Addition,52.4979000000,-1.4870450000
17470000,2015-06-29 00:00:00Z,CV10 7SE,Other,Established,Leasehold,NORBERT DENTRESSANGLE UK LTD,,ST DAVIDS WAY,BERMUDA PARK,NUNEATON,NUNEATON AND BEDWORTH,WARWICKSHIRE,Additional,Addition,52.4975180000,-1.4837290000
22500000,2018-12-06 00:00:00Z,CV10 7SE,Other,Established,Leasehold,NORBERT DENTRESSANGLE UK LTD,,ST DAVIDS WAY,BERMUDA PARK,NUNEATON,NUNEATON AND BEDWORTH,WARWICKSHIRE,Additional,Addition,52.4975180000,-1.4837290000
20388956,2021-01-15 00:00:00Z,CV10 7SE,Other,Established,Leasehold,NORBERT DENTRESSANGLE UK LTD,,ST DAVIDS WAY,BERMUDA PARK,NUNEATON,NUNEATON AND BEDWORTH,WARWICKSHIRE,Additional,Addition,52.4975180000,-1.4837290000
