171000,1996-07-12 00:00:00Z,GU6 8HR,Detached,Established,Freehold,SUNNYSIDE,,SACHEL COURT DRIVE,ALFOLD,CRANLEIGH,WAVERLEY,SURREY,Standard,Addition,51.1013070000,-0.5201250000
178000,1999-11-05 00:00:00Z,GU6 8HT,Terraced,Established,Freehold,SPRINGBOK COTTAGES,19,SPRINGBOK ESTATE,ALFOLD,CRANLEIGH,WAVERLEY,SURREY,Standard,Addition,51.1028630000,-0.5274030000
237000,2004-08-12 00:00:00Z,GU6 8HT,Terraced,Established,Freehold,SPRINGBOK COTTAGES,19,SPRINGBOK ESTATE,ALFOLD,CRANLEIGH,WAVERLEY,SURREY,Standard,Addition,51.1028630000,-0.5274030000
