348000,2009-02-19 00:00:00Z,SP3 5ST,Detached,Established,Freehold,CHICKLADE COTTAGE,,,CHICKLADE,SALISBURY,SALISBURY,WILTSHIRE,Standard,Addition,51.1110170000,-2.1304990000
825000,2019-06-21 00:00:00Z,SP3 5ST,Other,Established,Freehold,CHICKLADE SERVICE STATION,,,CHICKLADE,SALISBURY,WILTSHIRE,WILTSHIRE,Additional,Addition,51.1110170000,-2.1304990000
1506500,2021-10-20 00:00:00Z,SP3 5ST,Other,Established,Freehold,CHICKLADE SERVICE STATION,,,CHICKLADE,SALISBURY,WILTSHIRE,WILTSHIRE,Additional,Addition,51.1110170000,-2.1304990000
