390000,2013-09-06 00:00:00Z,ME3 9NS,Detached,Established,Freehold,POLLY ADAMS COTTAGE,,STOKE ROAD,HOO,ROCHESTER,MEDWAY,MEDWAY,Standard,Addition,51.4359050000,0.6109890000
8032246,2018-05-16 00:00:00Z,ME3 9GX,Other,Established,Freehold,LONDON MEDWAY COMMERCIAL PARK,UNIT 4A,JAMES SWALLOW WAY,HOO,ROCHESTER,MEDWAY,MEDWAY,Additional,Addition,51.4329060000,0.6108750000
8919150,2021-03-24 00:00:00Z,ME3 9GX,Other,Established,Freehold,LONDON MEDWAY COMMERCIAL PARK,UNIT 4A,JAMES SWALLOW WAY,HOO,ROCHESTER,MEDWAY,MEDWAY,Additional,Addition,51.4329060000,0.6108750000
