28500,1995-12-29 00:00:00Z,BH10 5BG,Flats/Maisonettes,Established,Leasehold,5,FLAT,NEW PARADE,,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7568710000,-1.8859660000
78000,1995-11-23 00:00:00Z,BH10 6JR,Detached,Established,Freehold,33,,ROMNEY ROAD,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7598020000,-1.8846270000
62500,1995-05-04 00:00:00Z,BH9 2SH,Detached,Established,Freehold,99,,ENSBURY PARK ROAD,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7510600000,-1.8834570000
64000,1995-12-01 00:00:00Z,BH10 6JQ,Semi-Detached,Established,Freehold,93,,SAXONHURST ROAD,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7595810000,-1.8884980000
65000,1995-08-24 00:00:00Z,BH10 6AN,Detached,Established,Freehold,82,,REDHILL DRIVE,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7593030000,-1.8804310000
60000,1995-06-23 00:00:00Z,BH10 5AG,Detached,Established,Freehold,20,,COOMBE GARDENS,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7533030000,-1.8879740000
55500,1995-09-15 00:00:00Z,BH9 2SN,Detached,Established,Freehold,4,,REDHILL AVENUE,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7519070000,-1.8854820000
40000,1995-11-14 00:00:00Z,BH10 4DY,Semi-Detached,Established,Freehold,12,,COLUMBIA ROAD,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7515940000,-1.8873260000
86000,1995-06-08 00:00:00Z,BH10 6AT,Detached,Established,Freehold,3,,PARKSIDE GARDENS,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7543620000,-1.8858450000
56500,1995-12-01 00:00:00Z,BH10 6LD,Semi-Detached,Established,Freehold,82,,HEADSWELL AVENUE,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7595660000,-1.8832380000
34000,1995-03-21 00:00:00Z,BH10 5AP,Flats/Maisonettes,Established,Leasehold,47A,,DRAYCOTT ROAD,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7536830000,-1.8899720000
28000,1995-07-31 00:00:00Z,BH10 5BN,Semi-Detached,Established,Leasehold,1A,,WESTERN AVENUE,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7554530000,-1.8884790000
54000,1995-04-18 00:00:00Z,BH10 5AS,Detached,Established,Freehold,76,,BESWICK AVENUE,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7526290000,-1.8883580000
28950,1995-12-21 00:00:00Z,BH9 2SS,Flats/Maisonettes,Established,Leasehold,1B,,DELHI ROAD,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7540330000,-1.8803600000
88500,1995-01-27 00:00:00Z,BH10 6AU,Detached,Established,Freehold,16,,COPPICE VIEW,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7564990000,-1.8823100000
73500,1995-12-20 00:00:00Z,BH9 2SW,Detached,Established,Freehold,20,,REDHILL AVENUE,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,BOURNEMOUTH,Standard,Addition,50.7527950000,-1.8836370000
