389950,2010-12-13 00:00:00Z,EX34 0NP,Detached,Established,Freehold,COPPER BEECH,,HODGES LANE,COMBE MARTIN,ILFRACOMBE,NORTH DEVON,DEVON,Standard,Addition,51.1957570000,-4.0311400000
480000,2016-12-23 00:00:00Z,EX34 0NR,Other,Established,Freehold,BLURRIDGE FARM,,RIDGE HILL,COMBE MARTIN,ILFRACOMBE,NORTH DEVON,DEVON,Additional,Addition,51.1931980000,-4.0345120000
55000,2021-06-23 00:00:00Z,EX34 0NR,Other,Established,Freehold,HILLS VIEW,,RIDGE HILL,COMBE MARTIN,ILFRACOMBE,NORTH DEVON,DEVON,Additional,Addition,51.1931980000,-4.0345120000
