380000,2003-08-08 00:00:00Z,WV16 6QA,Detached,Established,Freehold,FORGET ME NOT CROFT,,,CHELMARSH,BRIDGNORTH,BRIDGNORTH,SHROPSHIRE,Standard,Addition,52.4650130000,-2.4030660000
540000,2016-05-20 00:00:00Z,WV16 6QA,Other,Established,Freehold,HODGE NICHOLS FARM,,,CHELMARSH,BRIDGNORTH,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.4650130000,-2.4030660000
499000,2017-07-21 00:00:00Z,WV16 6QA,Other,Established,Freehold,HODGE NICHOLS FARM,ANNEXE,,CHELMARSH,BRIDGNORTH,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.4650130000,-2.4030660000
